rand_beta,rand_w_weights_beta,opt_beta,opt_w_weights
"[-0.10543520521186757, -0.011988271992939052]","[-0.18120544509655645, -0.20423371093208373]","[-0.07248506587205146, 0.004990611326107724]","[-0.19297381001469646, -0.21197625763441497]"
"[-0.06043948302540973, -0.0037438743259779698]","[-0.13569949942567563, -0.18260253565481663]","[-0.07876327546151124, -0.0029682804184588143]","[-0.20281900356025256, -0.23400625264770752]"
"[-0.1051129322118478, -0.04887272315962277]","[-0.17069715680494385, -0.2213162321901248]","[-0.10533050813905359, -0.015668484164408462]","[-0.21565544009860227, -0.22884046018916274]"
"[-0.06524917091700971, 0.010114082120140266]","[-0.14996999091667262, -0.21965689187113413]","[-0.06366446631421416, 0.000261943117920817]","[-0.1873690223251796, -0.20999893899668776]"
"[-0.11756915895503098, 0.007599180317252832]","[-0.24779237362763515, -0.23039580655345318]","[-0.08229841992301365, 0.02099134524628725]","[-0.20086626835324548, -0.2116852126299065]"
"[-0.06948573043201303, 0.013307675099829561]","[-0.18875390824447102, -0.23162355196260176]","[-0.07151054385811483, 0.005413685120876739]","[-0.20607484241222593, -0.2348775382892338]"
"[-0.08409460041567707, -0.033469469669205526]","[-0.1524820591100919, -0.2173046122212652]","[-0.08122816324806978, -0.013848863389865046]","[-0.179407122013293, -0.20746607674400527]"
"[-0.12064408462668896, -0.019662192072284878]","[-0.20035887848574002, -0.23333795663470297]","[-0.09127975721546844, -0.0012453349588249535]","[-0.23395320131640449, -0.24891561790160102]"
"[-0.11087422265935448, -0.009317008300802402]","[-0.20477519669958524, -0.21685200564644444]","[-0.08106195892363931, -0.014543739074537316]","[-0.18629658660841603, -0.21467621421685779]"
"[-0.08226276948566337, -0.003952715552241708]","[-0.1587714333255759, -0.19234531826164403]","[-0.07752262854615682, -0.017616752433192377]","[-0.17972803854554634, -0.2054281903480759]"
"[-0.08532623876442776, -0.000899590904863274]","[-0.15503259475526093, -0.19389950453601737]","[-0.07037414844346884, 0.005015025131174673]","[-0.1862039460487842, -0.20900720143126797]"
"[-0.06762198828956892, -0.006509699994570059]","[-0.138749641244662, -0.15506024458588086]","[-0.06966100630666602, -0.005678881112232819]","[-0.18348339814696016, -0.20341929951306648]"
"[-0.08885170676709114, -0.031696475956545234]","[-0.14181242175454947, -0.18253629706533966]","[-0.08901471056903197, -0.03608562099788482]","[-0.1754466790888972, -0.20079447767402575]"
"[-0.10246203612646457, -0.012296334667136472]","[-0.20162139538681687, -0.23592413370695503]","[-0.09218414303810374, -0.010980497511144188]","[-0.19836763834309665, -0.21575219926498326]"
"[-0.12020788472640612, -0.0198131507690463]","[-0.19587302017217867, -0.23660650451025148]","[-0.07180489416300508, 0.003490210915686351]","[-0.19739395091081877, -0.2121844890197752]"
"[-0.05869468981643969, -0.02783398418582253]","[-0.1391304553799977, -0.18208681489555334]","[-0.05925256092894422, -0.001815000376029847]","[-0.1819294455032715, -0.21553250040957456]"
"[-0.08716539826138955, -0.027224912957969957]","[-0.14342974365446204, -0.18221468029654359]","[-0.06964758008811528, -0.005769250883509841]","[-0.17868707361993422, -0.2050660616404148]"
"[-0.08631765667863034, -0.028856549396799207]","[-0.17044624852600435, -0.19417137433293155]","[-0.08717972589909825, -0.006976492238086312]","[-0.1784369458326445, -0.19986960811206686]"
"[-0.09180789745137893, -0.004313713170642125]","[-0.1887826244910446, -0.1989880590053371]","[-0.06729181983355044, 0.004076343725532236]","[-0.16788548829586994, -0.198496030593918]"
"[-0.0864340355789715, -0.026605161240857902]","[-0.16407665363127777, -0.2390798688018598]","[-0.06844310252296693, -0.0027844721974728845]","[-0.17670042470691769, -0.2016829425102603]"
"[-0.13453575342293048, -0.029420620641536156]","[-0.21686064513717107, -0.21553461565660503]","[-0.07297291632832775, 0.006092412539751081]","[-0.20787639174930128, -0.21450827698849415]"
"[-0.09744294797794506, -0.020832580289148687]","[-0.1557464328007034, -0.18597647838986642]","[-0.07041950313539794, -0.004343492132806379]","[-0.17880141773172517, -0.20255658438744928]"
"[-0.10061913279902157, -0.042548637561873576]","[-0.1641241667282972, -0.21089537162228114]","[-0.10411162239543378, -0.03695765602003342]","[-0.19192631241712432, -0.2136548719128855]"
"[-0.08769490674222279, -0.028103256778049805]","[-0.1305991519817064, -0.1840955479932734]","[-0.10187772607895285, -0.03270229777503386]","[-0.19902132605243933, -0.2289032958544392]"
"[-0.09373113621895288, -0.04658309663602951]","[-0.15073332486546587, -0.21665247866692572]","[-0.09446783933532245, -0.0303696124177512]","[-0.1873758915844882, -0.21295866292994006]"
"[-0.07435266572909997, -0.0006192771568995687]","[-0.1814094700267256, -0.2254889546955833]","[-0.0807516868558081, -0.0030802382783147123]","[-0.2012345472371049, -0.21422845555154335]"
"[-0.07118558991188509, 0.0013465959979303604]","[-0.16795830023592362, -0.19938406017042481]","[-0.06828618843741274, -0.002938423013183745]","[-0.18428326301728779, -0.21159508482202155]"
"[-0.10607022849263135, -0.006669414387288618]","[-0.21128948714070997, -0.2728802709421332]","[-0.07556252299368835, 0.0012277934481826594]","[-0.19609850460719508, -0.2135147861691402]"
"[-0.10017444915264528, -0.023776377158806775]","[-0.17775986977150168, -0.20042440351308102]","[-0.0684611130061926, -0.0027842067203276964]","[-0.18027005755810876, -0.20480981500953105]"
"[-0.09817366947620974, -0.02006566864525981]","[-0.17337950770452476, -0.1970248534354635]","[-0.08223279519385143, -0.016581114797834157]","[-0.18450813219040296, -0.2066041263542027]"
"[-0.07266630265137383, -0.0015758525791293146]","[-0.10617212305104644, -0.1679530207635576]","[-0.07586166988163746, 0.008579239996498926]","[-0.1700800118251356, -0.1990239436628602]"
"[-0.08110665911017495, -0.03756460349001266]","[-0.15401939899741177, -0.19035977059239004]","[-0.07115536697724019, 0.0034660610669514026]","[-0.18503385717290466, -0.20719891055292408]"
"[-0.07463871111635005, -0.011549035751626045]","[-0.15917462451011719, -0.1910694647274575]","[-0.07673787493699669, -0.0019515219935168136]","[-0.18848497612693807, -0.21335140333097719]"
"[-0.11000720899057478, -0.0325248821510399]","[-0.17078939087627426, -0.19139240250971243]","[-0.08856556850704353, -0.030762974316059614]","[-0.1737572814875063, -0.19595335718176712]"
"[-0.09851477359996558, -0.020054508463419354]","[-0.15728845093999202, -0.21751568417437186]","[-0.06851809327679209, 0.020387298914659548]","[-0.1942384154138463, -0.20533606221544598]"
"[-0.06404237206165246, -0.007807609644575186]","[-0.17813010770110943, -0.22955732256307015]","[-0.06772224636635651, -0.00442504065334496]","[-0.18233865758019027, -0.20694520031617525]"
"[-0.10617157020740703, 0.03639467714369267]","[-0.18342229980741287, -0.20003914215015237]","[-0.08962955693555602, -0.011002385960758126]","[-0.18470405495251194, -0.20401913486614776]"
"[-0.09723010835707079, -0.010002227816397735]","[-0.18805336639063283, -0.22779801571482736]","[-0.07119229036222495, 0.0034307444164536015]","[-0.18886836375821237, -0.22544594492808306]"
"[-0.0880009491956076, -0.010852413492382699]","[-0.18959086362562683, -0.22901629783708893]","[-0.08207341021376452, -0.004230511271135062]","[-0.20250635812299506, -0.21449790612029082]"
"[-0.10005350134550334, -0.0457493108119852]","[-0.16360408761706843, -0.22135415602089015]","[-0.08087547508618298, -0.007042654081658598]","[-0.17696973462198987, -0.20632451088958806]"
"[-0.09879903703858517, -0.020298074772238942]","[-0.15117827511132204, -0.1838865009387882]","[-0.07165495238468697, 0.0031452656822229482]","[-0.18624739109248453, -0.20577677303893566]"
"[-0.12714961590641014, -0.026749784941525936]","[-0.22751465000032955, -0.21510177105952885]","[-0.06757594623099918, 0.020980275866876254]","[-0.22019721688955604, -0.23950430703603234]"
"[-0.08271123866296402, 0.012913883774956544]","[-0.21627062135040456, -0.21100506313845177]","[-0.07545915186119459, 0.00645701412264808]","[-0.18489369988673046, -0.20189681814478805]"
"[-0.10728664335973043, -0.007676700683183819]","[-0.23445872237610627, -0.2945964218172464]","[-0.06734775100410129, 0.004104256941386703]","[-0.19364792509065523, -0.21264491290884155]"
"[-0.07500182203192796, 0.01741573511402177]","[-0.2000992735624087, -0.20566621052973008]","[-0.06522969423935, 0.012468813676352351]","[-0.17365861723774687, -0.1968862943843912]"
"[-0.0669731471683459, -0.019916066971271826]","[-0.17499393178625713, -0.24835823617102432]","[-0.08011889365560362, 0.0031197322410739634]","[-0.20203949942246663, -0.21236034707746484]"
"[-0.09580197195733643, -0.018963185609736775]","[-0.17609462765055772, -0.2002911890199107]","[-0.07005354734364537, 0.0016094640124488845]","[-0.18991254072238567, -0.2085425934917876]"
"[-0.07362362889415397, -0.012993643540692976]","[-0.12168021039173198, -0.18327291956461214]","[-0.05933864625382745, 0.012739903372827573]","[-0.18285862771276662, -0.2096856152129852]"
"[-0.0600087263188245, -0.0006384483121880149]","[-0.104019721704638, -0.17026424634680543]","[-0.058765819066360324, 0.009593517113851192]","[-0.1891469136593606, -0.20758527638264662]"
"[-0.06891663680130544, -0.00940638248959136]","[-0.1626094190982365, -0.1905534753594535]","[-0.07025087972259864, 0.0036154253251958523]","[-0.1785207850097686, -0.19945402581422972]"
"[-0.1029399269207688, -0.010329372220378791]","[-0.18693787002253012, -0.19748732947787825]","[-0.07918364454450706, 0.006164944503692934]","[-0.197108655272227, -0.2072627642175578]"
"[-0.06696122488718312, 0.008966515182635222]","[-0.17934654443634818, -0.21810874489216228]","[-0.06536272212955883, -0.002686584137228855]","[-0.18700001076328857, -0.22749815041982321]"
"[-0.09877096011142916, -0.036440402229235676]","[-0.17607605819469266, -0.20582444294295077]","[-0.07156000059893679, -0.013580499317260583]","[-0.16923585785597775, -0.2009888268113976]"
"[-0.07891333070573217, 0.006698848355632792]","[-0.23400774382794173, -0.28786085285938456]","[-0.0673539344939671, 0.013202427130867212]","[-0.19795923953927738, -0.21706992489926433]"
"[-0.10190347863538432, -0.011683855514819532]","[-0.20640650529245672, -0.20973524953039702]","[-0.07974853143832426, 0.0007774132015278716]","[-0.18189806660174454, -0.2022932290879784]"
"[-0.09639098952871777, -0.019210801682224988]","[-0.17839480819338588, -0.20158386700730255]","[-0.07864650771936109, -0.00195760007759482]","[-0.20867154715967606, -0.21628744299582917]"
"[-0.10415674163913438, -0.022052280966812644]","[-0.16689542150108963, -0.1928570737790412]","[-0.08031581572546406, -0.014354446498382953]","[-0.1638182220591893, -0.19499954169080255]"
"[-0.07770206360687842, 0.019514917858402082]","[-0.18017493106136664, -0.20187797670910937]","[-0.07109815039720196, 0.0034342723836901247]","[-0.19692717785207556, -0.22116943576065298]"
"[-0.09240149263846578, -0.018117920496139115]","[-0.18529062775244579, -0.2203990160148602]","[-0.08323042996204998, -0.016074460340643023]","[-0.19065392454705626, -0.21583354452404638]"
"[-0.14743698251352963, -0.03735216320256776]","[-0.2176227450646333, -0.21138601361465903]","[-0.08981309375326342, 0.018538525757530816]","[-0.20996369453089445, -0.21065108401974836]"
"[-0.08290025228522274, -0.03365835470532308]","[-0.16587681408027777, -0.2024531609622857]","[-0.08837392905699826, -0.02948737248154716]","[-0.18295803020666848, -0.21036741101809742]"
"[-0.09968441573972292, -0.008689323655595726]","[-0.16202482740191515, -0.1930270539131738]","[-0.0700434038850486, 0.0013644176187995087]","[-0.17717562926658917, -0.20442627588629192]"
"[-0.06514744143649172, -0.009385273289643678]","[-0.1639366689353645, -0.249031046887813]","[-0.06565600249049394, 0.009240929132253552]","[-0.18121858784671846, -0.2048690570218708]"
"[-0.13480891551331559, -0.050526706627213806]","[-0.19056530533481408, -0.23069068518124433]","[-0.10320856435490297, -0.04172090776839221]","[-0.19082086903690623, -0.20848398142447852]"
"[-0.08185044047751373, 0.007879942817032142]","[-0.15394603351633576, -0.19260178255107963]","[-0.06914925850009092, 0.01796881472035131]","[-0.20197274905060372, -0.21222633344016686]"
"[-0.10000533776323879, -0.01858952152518554]","[-0.17741496278306632, -0.2032092436597718]","[-0.08238794633633802, -0.014434187396062356]","[-0.18733849135478198, -0.21049747583193573]"
"[-0.08300249914216, -0.03300944200083871]","[-0.16622114661766402, -0.19379699611477333]","[-0.07389378779823776, 0.011043694718909746]","[-0.1915323719212397, -0.2092248660556315]"
"[-0.08948828805613909, 0.006875449976050048]","[-0.2035789972641816, -0.212637638641315]","[-0.07349285646129436, 0.01752496403930669]","[-0.2014648169156925, -0.21531197141915054]"
"[-0.1120163096064035, -0.025222927149548165]","[-0.169113072128918, -0.19276597342573504]","[-0.0859797117162147, -0.016034109807025302]","[-0.197831843367345, -0.2188683318576254]"
"[-0.08574010000739905, 0.011834847398782513]","[-0.20357896216294546, -0.2117701702975805]","[-0.09146709092451576, -0.01581643458052874]","[-0.19765138126982906, -0.21936124650377747]"
"[-0.12047194034544284, -0.03466254887218337]","[-0.1592727646868113, -0.18498255300494953]","[-0.1005156896153005, -0.030502548479587145]","[-0.19567699723458454, -0.21412086008827882]"
"[-0.08060372607365833, -0.005594521115461518]","[-0.15882124350752452, -0.19566281111035694]","[-0.09111951101529997, -0.02009165964646589]","[-0.18975372274081892, -0.21337738086652092]"
"[-0.07160698730320168, 0.019618795673150738]","[-0.19630850978802777, -0.23606690582002426]","[-0.07312706050905059, 0.03225145802215871]","[-0.197815738391322, -0.21083370254690342]"
"[-0.08437607603210434, -0.03317597033063155]","[-0.14272997105654758, -0.21037055490855117]","[-0.06756615947908887, 0.009414601309466204]","[-0.17072310360223703, -0.19534964033387253]"
"[-0.0665346145984612, -0.06087357571633227]","[-0.158714715681762, -0.19604933220637044]","[-0.08013428145214488, -0.01485102418043748]","[-0.1771769072731485, -0.2034255011345872]"
"[-0.09373763778437473, -0.0009229990871195172]","[-0.15630948190980035, -0.18703653606837628]","[-0.09650091137517613, -0.00669770908436076]","[-0.18856870198559236, -0.20302035104861196]"
"[-0.09598169373632928, -0.04664283990915879]","[-0.15882474076395442, -0.19305461199298077]","[-0.06920182401059037, -0.0025276357198117795]","[-0.19348252773294705, -0.20453520442612394]"
"[-0.08819097662814468, -0.006353805696199421]","[-0.17651227015623686, -0.2252320123407262]","[-0.08089871347903949, 0.002952312194299343]","[-0.1951839168980046, -0.21540630700615135]"
"[-0.08786136114318756, -0.010920122051994953]","[-0.16264096610207024, -0.1882654916090369]","[-0.08174333982265353, -0.013708970735100877]","[-0.18305419239040197, -0.20088483909052784]"
"[-0.0929366430304649, -0.028317444292002194]","[-0.16132563202679998, -0.1895707627231696]","[-0.08127620089679856, -0.004935990649145435]","[-0.20383874316226305, -0.21417594222505817]"
"[-0.11194758926111208, 0.015160160111088984]","[-0.17328008832860226, -0.2036566175058139]","[-0.06458023399036546, -0.001793511381297214]","[-0.17856266498662599, -0.20654464580925447]"
"[-0.07334115602470787, -0.0021781714542395674]","[-0.14932095114777058, -0.18828961830334817]","[-0.07234004531913332, -0.004416877144815037]","[-0.17810500418350966, -0.20363364093617983]"
"[-0.09542185158603964, 0.0019903161122463912]","[-0.15759125350642877, -0.19074285964017018]","[-0.08013757345181236, 0.0007663620723869422]","[-0.19942147086592238, -0.23288128160178925]"
"[-0.06517599704606589, 0.0032101447354546736]","[-0.18351070446476578, -0.2638052682452206]","[-0.06657732810467884, -0.004420903408074427]","[-0.17484486414732983, -0.20190553463963504]"
"[-0.07584225487413356, 0.0017384593468945657]","[-0.18818281660878905, -0.20457589304195323]","[-0.06356435235964399, 0.0013764968244262179]","[-0.1679658797045589, -0.19916337985058485]"
"[-0.097625728074886, -0.016011162691946367]","[-0.15899215997620977, -0.22548146919813297]","[-0.07801793668639947, -0.01116113359439825]","[-0.18383306432167787, -0.2136340885643829]"
"[-0.08529024616246432, -0.0008883299581984331]","[-0.18406279929284447, -0.23008851524698512]","[-0.08696893789014666, -0.020092886656228444]","[-0.18765266515530038, -0.2077072825515535]"
"[-0.0890363205570403, 0.015313115970441299]","[-0.17052670911760837, -0.19154079633920398]","[-0.06824257339267324, 0.007518312632989755]","[-0.1903163166195055, -0.21296180557722347]"
"[-0.11494375548613604, -0.026237521406701343]","[-0.17421069987298804, -0.19450581450806945]","[-0.06521593567717777, 0.01177944134796474]","[-0.20145212977816654, -0.23351320659017813]"
"[-0.07727211970542991, 0.0034871865568427644]","[-0.18257952286924833, -0.26480898518945595]","[-0.07849353299677304, -0.017462853999884412]","[-0.1807845198282104, -0.21272259547191455]"
"[-0.10084810923248871, -0.020339626662859274]","[-0.135434183986104, -0.14513424411858167]","[-0.08911880439062418, -0.00698200644849468]","[-0.19383414411984276, -0.20728750830983073]"
"[-0.09517127909665708, -0.019759555183784833]","[-0.16301678227821284, -0.22170933814273686]","[-0.10253558983811102, -0.0380686977830758]","[-0.20071485307348058, -0.24220405210844936]"
"[-0.08837128412307192, -0.028010568030961705]","[-0.15528356975482954, -0.19171284736929248]","[-0.08161293853419331, -0.017317902918559912]","[-0.18147961967873683, -0.2013558837248491]"
"[-0.13299592860189627, -0.026262175039732823]","[-0.22257256966052233, -0.21335410812962113]","[-0.07325270135128721, 0.003591007542481474]","[-0.21933163249989507, -0.23787363846032827]"
"[-0.11039615692843768, -0.015492490921041603]","[-0.2116554374005087, -0.20716349333580386]","[-0.09129650483667855, -0.014023470254930389]","[-0.1986597304061262, -0.20941794211552237]"
"[-0.09058214055082955, -0.029679312576092277]","[-0.1724190499654263, -0.19214613935604893]","[-0.0825036781096087, 0.0012250466000657994]","[-0.2062406228918687, -0.21361811391950528]"
"[-0.10014165680597145, 0.04031885340929946]","[-0.2151644864512672, -0.21568060348294474]","[-0.06695336069744298, 0.009606227701175685]","[-0.20048048547448316, -0.21953561262264065]"
"[-0.08077910399317156, -0.061286274870868226]","[-0.18909783079554449, -0.2681014740769405]","[-0.06954902978203148, -0.007943204481624451]","[-0.19100810642860694, -0.22016539409759447]"
"[-0.093419973548788, -0.018394175653220098]","[-0.157539630745767, -0.19613890351658603]","[-0.08197032184066097, -0.004260399654360365]","[-0.19218639173400448, -0.21026957106706104]"
"[-0.07367408777841253, -0.000491050740202371]","[-0.1828212757749371, -0.23018163078400664]","[-0.06399255472050489, 0.017980810248686464]","[-0.19187179371788574, -0.22917037684499947]"
"[-0.11507006572911678, -0.0260543766759641]","[-0.1940710839250115, -0.20110821969209594]","[-0.0670167588655324, 0.006002086367834028]","[-0.1943384858665218, -0.2140700775052835]"
"[-0.09827805617485409, -0.020352607899048615]","[-0.18791974101266784, -0.20523450084671152]","[-0.06279035282580672, 0.004072034369126568]","[-0.1880466848669001, -0.21613228884979588]"
"[-0.09467832422838016, -0.04632603142853008]","[-0.1837204119570231, -0.223805365275428]","[-0.08307877839348084, -0.021544284057674615]","[-0.21963941432159295, -0.26586706245682873]"
"[-0.09453527952663844, -0.07650009066774104]","[-0.1580571915415132, -0.19399311915090167]","[-0.08786505375679313, -0.016455133864652072]","[-0.1717981868768124, -0.19878714014887586]"
"[-0.10332433923858403, -0.012664214151114713]","[-0.22381623108438561, -0.21861485841352218]","[-0.08012208495303101, -0.014786310163544451]","[-0.19305902265189365, -0.21784920555390536]"
"[-0.1097461550191962, -0.0061478837115181125]","[-0.20076753839780634, -0.17982535089422047]","[-0.09000478691572587, -0.0034171703720431196]","[-0.2060465386488563, -0.21030892797598896]"
"[-0.06834059344776963, -0.0008567596806456019]","[-0.192203820406804, -0.22979132106660002]","[-0.061998832816778246, -0.001004507420763239]","[-0.1875686334733474, -0.22322347183090557]"
"[-0.11334171022100838, 0.03278240823642883]","[-0.14869848124947438, -0.1492937326366865]","[-0.08681790027910007, 0.014290128677480463]","[-0.2049226682107306, -0.2061707643527593]"
"[-0.08534092465236844, -0.015635004462691737]","[-0.13022676287935997, -0.18227126875469185]","[-0.06950834658700185, -0.005810526541795562]","[-0.17437483106301505, -0.20353679794556695]"
"[-0.07916149532617964, -0.01310076412575888]","[-0.13763319264313212, -0.16512777778152699]","[-0.06642818090645339, 0.007192827543842336]","[-0.169788287467068, -0.19151543076047148]"
"[-0.1006096902315457, -0.020520870233667145]","[-0.18729997336579787, -0.26174953015204966]","[-0.07406828750575578, -0.017481311364434274]","[-0.18852683258296757, -0.2149265272562662]"
"[-0.10282494549272901, -0.010288017153109789]","[-0.18702916239569592, -0.20617002438250676]","[-0.07681785357509899, 0.0036082959360400194]","[-0.19736366361560823, -0.20808363608611868]"
"[-0.08451828509877128, 0.010595334384101476]","[-0.17621913984711826, -0.18993442497435864]","[-0.08967875053006139, 0.006384400380668012]","[-0.20950464384552514, -0.2326117068182423]"
"[-0.10063837083480073, -0.021175777364464434]","[-0.18006367898236164, -0.23076394286878496]","[-0.07644738856858531, -0.007021889726836718]","[-0.19105029196688045, -0.2161418829489848]"
"[-0.04561357981977926, -0.04137845524204589]","[-0.11649322454771503, -0.18122134412550298]","[-0.06917158016933542, -0.005006232356516197]","[-0.18231506880320494, -0.20794968753440304]"
"[-0.06119754733484174, -0.002646949232467612]","[-0.16671507075532987, -0.2204204136969439]","[-0.07123245922443751, 0.0034309788330101946]","[-0.19928190813025273, -0.22281506952742242]"
"[-0.10020882271183239, -0.018775430932674867]","[-0.15866454412455283, -0.2136484504029129]","[-0.0700788686163037, 0.009541025926034941]","[-0.19026848714274047, -0.20755270099242598]"
"[-0.05998765072344455, -0.05936481367055146]","[-0.14036788770210262, -0.21125975378187684]","[-0.0869988721380634, -0.020201776647903295]","[-0.19947133738903733, -0.23186016879969548]"
"[-0.07045061029104263, -0.044704292763561575]","[-0.15817137284657865, -0.2196507927761795]","[-0.0718410464519944, 0.0007809348750411744]","[-0.19771714568091564, -0.2206449015796334]"
"[-0.11351270727903498, -0.03887981459217199]","[-0.15446981556661846, -0.1907953681827238]","[-0.09178247063672824, -0.015969146369417812]","[-0.18680836405532295, -0.2076171925034092]"
"[-0.10180869270640679, -0.02149936010722828]","[-0.17660130039734903, -0.20449204997854742]","[-0.08778175515738766, -0.004289558927709001]","[-0.1931265078035726, -0.2103923244784501]"
"[-0.06499020965527318, -0.0037847431152773854]","[-0.1776219587650644, -0.2284552355198072]","[-0.06994235297241301, -0.00314387124424093]","[-0.19289152936019094, -0.21492071380185337]"
"[-0.04973230524177454, 0.02058675598297398]","[-0.17355728847228072, -0.20320667752454102]","[-0.05559522411463669, 0.019527003915854463]","[-0.1887705374448408, -0.20750094294405116]"
"[-0.059409509814723524, -0.014897264865017208]","[-0.1485336676857163, -0.21937309620169368]","[-0.07425852937341453, -0.012188772064232356]","[-0.18651997029778133, -0.2165193127859606]"
"[-0.11148562863818348, 0.015259942767921008]","[-0.23501951027146561, -0.22767755745963805]","[-0.061278294989614845, 0.009529082104296831]","[-0.1870256772222235, -0.2061267252330325]"
"[-0.07941500306350316, -0.00678839597955138]","[-0.12676781956542374, -0.17334921252480975]","[-0.09279272256572102, -0.00754618660277726]","[-0.1718991139025183, -0.19319890647384128]"
"[-0.10294096219627791, -0.010354743789689858]","[-0.19364049801196198, -0.2318353213142732]","[-0.07180072513367491, 0.003107536438994916]","[-0.18519046922634988, -0.2058604493877896]"
"[-0.08886616993533512, -0.0003801842459163492]","[-0.1585852478981688, -0.1977490275122127]","[-0.07996370594194441, -0.006151835085957828]","[-0.1938873780118684, -0.21878150620892872]"
"[-0.12970255054540616, -0.014489318191950115]","[-0.19225073522259017, -0.20154568158911224]","[-0.07810150154059646, -0.006937990792129852]","[-0.1905714550929924, -0.21091903027321945]"
"[-0.09869960935874758, -0.007309704398056159]","[-0.1989239233012485, -0.21026226000424109]","[-0.06965027231676474, -0.0017810267234795313]","[-0.20138555441792863, -0.21506543496000335]"
"[-0.07529744500858512, 0.017563584931472944]","[-0.18557744305591417, -0.1995896335173712]","[-0.07190487335497041, 0.0050400925618202825]","[-0.19166159402502825, -0.2077517819822103]"
"[-0.0781412115479545, -0.006085433319455968]","[-0.15931157291643663, -0.18888573737807332]","[-0.06583249262535124, -0.005725245092789639]","[-0.1844841154298816, -0.21409568315429628]"
"[-0.08954992479811585, -0.0315087916249376]","[-0.16326508788061864, -0.196730265235387]","[-0.06928052099895668, -0.004952741588416814]","[-0.19072080626633425, -0.22844585530930012]"
"[-0.11717090904451309, -0.04271836669809801]","[-0.18175095363336233, -0.22904804869022205]","[-0.061706204381477364, 0.01952792345229548]","[-0.189026485970585, -0.22248409373911224]"
"[-0.11303190748865896, 0.03475382442255441]","[-0.2160360502797495, -0.19118768056723945]","[-0.07943037975622955, 0.00882148065088027]","[-0.19535504839063791, -0.20794715735951128]"
"[-0.0823094026402715, -0.0039074887489199866]","[-0.1325541458735199, -0.14307167511555685]","[-0.06520000084300558, 0.005002038123133849]","[-0.18525617919510387, -0.20330544575529183]"
"[-0.09173489592919361, -0.004375785510305475]","[-0.1505588179998638, -0.1928573748174919]","[-0.07005814753772611, 0.0041350004285411095]","[-0.19421851931528494, -0.2151486208410879]"
"[-0.09497803511230674, -0.02012295959936817]","[-0.16836828365245773, -0.19945094913290976]","[-0.0647318017985547, -0.002687466347307511]","[-0.17475251153599458, -0.20835832466627915]"
"[-0.1052573390994632, -0.011764954359447287]","[-0.1956121105889789, -0.26361038364613093]","[-0.09390469802146431, -0.005655217558176124]","[-0.2045516609679678, -0.2074970522630425]"
"[-0.10608202065452467, -0.013938022465582433]","[-0.18818997740453178, -0.20057101694635085]","[-0.06853087982641866, -0.002201526864711581]","[-0.17130527363582956, -0.19975522853414338]"
"[-0.12650339425374293, -0.027150979153643295]","[-0.1729995723770869, -0.20254503421772715]","[-0.08259105828993119, -0.014915257378644653]","[-0.1847163250761445, -0.21043324969376892]"
"[-0.10653486240508625, -0.017150199175180472]","[-0.15628291044689382, -0.19467359368770598]","[-0.06993973068917125, 0.019551000852361815]","[-0.18043583953748177, -0.20654514423206174]"
"[-0.06485794898023807, -0.0037382512291486195]","[-0.14973342393823674, -0.18880429249749311]","[-0.06633065212137312, -0.007833646686432877]","[-0.17505693377553527, -0.2053546750779064]"
"[-0.11364153997561842, 0.02750499097719558]","[-0.1817594762784412, -0.19844373444577348]","[-0.07305209065503528, -0.006147901483390617]","[-0.18871871428928122, -0.2112443987200888]"
"[-0.07347754740921555, -0.012798921267286923]","[-0.14769684038924447, -0.18725081935721072]","[-0.08302964404258181, -0.021781822147825293]","[-0.18163902011487218, -0.20510902390761823]"
"[-0.053717135513312815, -0.06430614608465048]","[-0.13012806560469375, -0.20923335660493053]","[-0.06220879762877685, -0.001865194642318645]","[-0.16657795098403302, -0.20260235368192306]"
"[-0.10435073817666357, -0.02185161347550701]","[-0.16925847467531185, -0.20333634311392146]","[-0.08475576477900736, 0.021884522181211827]","[-0.20399827251549882, -0.20669202145554338]"
"[-0.12039793697297438, -0.01955149595527274]","[-0.14271482545894426, -0.14129389235979462]","[-0.08470008071503524, 0.0071105582733530905]","[-0.20205648325468162, -0.20720135799796982]"
"[-0.10146743073561595, -0.011875296985692058]","[-0.16826803069730428, -0.19393291022615428]","[-0.08017771941890786, 0.0031337279819794485]","[-0.19773907628045637, -0.20886769118436502]"
"[-0.11499440884535497, -0.02606823843575913]","[-0.17715531035138263, -0.20299117436867556]","[-0.07707602327732425, 0.003130292631435214]","[-0.18992434643681294, -0.2070908957968672]"
"[-0.09700031557558317, -0.02107879515625993]","[-0.15407176642025383, -0.19386187646866296]","[-0.07224018645903024, -0.0077598857829694525]","[-0.17179870308132525, -0.19980264135140746]"
"[-0.09928915211713131, -0.018850034843696385]","[-0.19753810440070918, -0.2617439820960904]","[-0.10800275075344636, -0.030705898976068517]","[-0.189812470929387, -0.20168291360971533]"
"[-0.08789905046943458, -0.01083372491926251]","[-0.18023758885936578, -0.2257698520953053]","[-0.0735041924643983, -0.0019395457595592625]","[-0.1860903336406043, -0.20342886732551088]"
"[-0.06286420715712082, 0.004045969222477189]","[-0.16337193949884626, -0.1877077489230405]","[-0.07810008823139299, 0.0246110473266128]","[-0.2072037599101741, -0.203881320013205]"
